station,duration,IGS08LAT,IGS08LONG,IGS08ELIPHT,cp_mean(m),cp_std(m),sigmax(m),sigmay(m),sigmaz(m),NominalT,dn (cm),de (cm),dh (cm)
Y683,2.01250,44.68914763,-123.2189187,71.67948585,0.0000,0.0180,0.0056,0.0067,0.0055,2,0.47,0.45,5.35
Y683,1.89583,44.68914746,-123.2189183,71.74162928,-0.0030,0.0630,0.0048,0.0105,0.0055,2,-1.33,2.98,11.56
Y683,2.01250,44.68914769,-123.2189187,71.6137676,-0.0010,0.0200,0.0072,0.0083,0.0074,2,1.21,-0.08,-1.22
Y683,2.01250,44.68914779,-123.2189187,71.60439057,0.0000,0.0220,0.0081,0.0087,0.0058,2,2.32,0.29,-2.16
Y683,2.01250,44.68914747,-123.2189189,71.65679572,0.0010,0.0210,0.0079,0.0086,0.0074,2,-1.28,-1.18,3.08
Y683,2.01250,44.68914738,-123.2189185,71.66494129,0.0010,0.0220,0.0104,0.0102,0.0060,2,-2.22,1.78,3.89
Y683,2.01250,44.68914761,-123.2189186,71.61830736,0.0000,0.0200,0.0081,0.0086,0.0061,2,0.24,1.00,-0.77
Y683,2.01250,44.68914784,-123.2189187,71.61812778,0.0000,0.0200,0.0077,0.0086,0.0075,2,2.79,-0.04,-0.79
Y683,2.01250,44.68914769,-123.2189186,71.63421034,-0.0010,0.0210,0.0158,0.0065,0.0069,2,1.20,1.17,0.82
Y683,2.01250,44.68914767,-123.2189191,71.64585655,0.0000,0.0220,0.0132,0.0057,0.0077,2,0.93,-2.89,1.99
Y683,2.01250,44.68914793,-123.2189178,71.58631682,-0.0010,0.0270,0.0170,0.0059,0.0073,2,3.89,7.34,-3.97
Y683,2.01250,44.68914762,-123.2189189,71.66039301,0.0000,0.0210,0.0089,0.0053,0.0063,2,0.39,-1.56,3.44
Y683,2.01250,44.68914763,-123.2189189,71.63269875,0.0010,0.0200,0.0147,0.0057,0.0080,2,0.49,-1.56,0.67
Y683,2.01250,44.68914779,-123.2189185,71.60142835,-0.0010,0.0220,0.0167,0.0061,0.0072,2,2.33,2.01,-2.46
